Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
250708-89,2025-07-08,90000067986,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Institūta iela 34A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420154016
250708-90,2025-07-08,90000067986,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Institūta iela 34A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420154246
250708-101,2025-07-23,90000067986,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,"",40,2025-08-22,"","Smilšu iela 2, Vangaži, Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420161591
250715-63,2025-07-15,90000067986,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1312.000,1312.000,Nepilna slodze,Nepilnais darba laiks,32,2025-08-22,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420759048
250718-63,2025-07-18,90000067986,IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,1600.000,2000.000,Nepilna slodze,"",8,2025-08-04,"","Brīvības gatve 455, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421077152
250718-109,2025-07-18,90000067986,IZGLĪTĪBAS METODIĶIS,Izglītība / Zinātne,1600.000,2000.000,Nepilna slodze,"","",2025-08-04,"","Brīvības gatve 455, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421097618
250723-20,2025-07-23,90000067986,JURISTS,Valsts pārvalde,1584.000,1980.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-10,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421387940
250723-19,2025-07-23,90000067986,JURISTS,Jurisprudence / Tieslietas,1584.000,1980.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-10,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421387822
250723-144,2025-07-23,90000067986,Energosistēmu INŽENIERIS/ EnergoPĀRVALDNIEKS,Elektronika / Enerģētika / Elektroenerģija,2022.000,2246.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-06,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421461720
250724-99,2025-07-24,90000067986,GALVENAIS GRĀMATVEDIS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,2516.000,2795.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-10,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421555900
250724-100,2025-07-24,90000067986,GALVENAIS GRĀMATVEDIS,Valsts pārvalde,2516.000,2795.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-10,"","Institūta iela 1, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421555958
250724-129,2025-07-24,90000067986,TERITORIJAS PLĀNOTĀJS,Valsts pārvalde,1616.000,2021.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-07,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421570399
250724-127,2025-07-24,90000067986,PROJEKTA VADĪTĀJS,Valsts pārvalde,1619.000,1799.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-07,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421569848
250729-11,2025-07-29,90000067986,VECĀKAIS KONSULTANTS,Pakalpojumi,1339.000,1674.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-12,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421854492
250729-85,2025-07-29,90000067986,APKOPĒJS,Cita,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-22,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421900678
250729-127,2025-07-29,90000067986,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1537.000,1645.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-10,"","Acones iela 4, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421918958
250730-24,2025-07-30,90000067986,TELPISKĀS ATTĪSTĪBAS PLĀNOTĀJS,Valsts pārvalde,1796.000,2246.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-07,"","Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421988908
250522-220,2025-05-26,90000067986,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-15,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/415543074
250522-219,2025-05-23,90000067986,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-15,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/415542946
250528-60,2025-05-28,90000067986,SPECIĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1584.000,1584.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-30,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/416002360
250528-59,2025-05-28,90000067986,SOCIĀLAIS PEDAGOGS,Izglītība / Zinātne,1320.000,1320.000,Nepilna slodze,Normālais darba laiks,"",2025-08-30,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/416002071
250730-139,2025-07-30,90000030377,APMEKLĒTĀJU CENTRA SPECIĀLISTS,Tūrisms / Viesnīcas,740.000,965.000,Viena vesela slodze,"","",2025-08-12,"","Rīgas iela 22A, Daugavpils",https://cvvp.nva.gov.lv/#/pub/vakances/422055001
250709-174,2025-07-09,90009114631,BĀRIŅTIESAS LOCEKLIS,Valsts pārvalde,1320.000,1320.000,"","","",2025-07-31,"","Vecā Sārmes iela 10, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420343138
250714-110,2025-07-14,90009114631,KLIENTU APKALPOŠANAS SPECIĀLISTS,Cita,900.000,900.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Liepu iela 8, Pociems, Katvaru pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420665436
250714-113,2025-07-14,90009114631,ĒKU UN APSAIMNIEKOJAMĀS TERITORIJAS PĀRZINIS,Cita,950.000,950.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Ulda Sproģa iela 5, Umurga, Umurgas pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420666573
250729-47,2025-07-29,90009114631,ĒKU UN APSAIMNIEKOJAMĀS TERITORIJAS PĀRZINIS,Cita,960.000,960.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-14,"","Mūru iela 17, Limbaži, Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421879526
250729-53,2025-07-29,90009114631,AUTOBUSA VADĪTĀJS,Cita,7.000,7.000,"",Summētais darba laiks,"",2025-08-14,"","Gravas, Vidrižu pag., Limbažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421881676
250723-22,2025-07-29,90000289913,VECĀKAIS DATORTĪKLA ADMINISTRATORS,Vadība / Administrēšana,1158.000,1258.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-21,"","Beātes iela 49, Valmiera, Valmieras nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421388625
250724-126,2025-07-24,90000289913,SISTĒMANALĪTIĶIS,Vadība / Administrēšana,1158.000,1258.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-11,"","Bruņinieku iela 72B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421569176
